spec_version,spec_id,features,profile_label,horizon,mu_Y_incremental,se_Y_incremental,mu_G_incremental,se_G_incremental,beta_scale_action,se_beta_scale_action,action_denom_t,nobs,country_n,year_min_effective,year_max_effective,rank_X,status_Y,status_G,z_trade,K_Y_cumulative,K_G_cumulative,cumulative_output_to_spending_ratio,ci95_low_K_Y_cumulative_naive,ci95_high_K_Y_cumulative_naive,z_liq,profile_year_used
mozdzen_tiva2022_gfcf_realppp_networth_polish_output_20260513,F01,trade,poland_2024,0,1.387360247,0.214947238,1.000000000,0.000000000,0.041186708,0.001253312,32.862283844,531,27,2004,2023,8,OK,OK,-0.161130026,1.387360247,1.000000000,1.387360247,0.966071402,1.808649092,,2022
mozdzen_tiva2022_gfcf_realppp_networth_polish_output_20260513,F01,trade,poland_2024,1,0.918374623,0.320207508,0.014543660,0.067515215,0.041186708,0.001253312,32.862283844,531,27,2004,2023,8,OK,OK,-0.161130026,2.305734870,1.014543660,2.272681759,1.549851277,3.061618463,,2022
mozdzen_tiva2022_gfcf_realppp_networth_polish_output_20260513,F01,trade,poland_2024,2,-0.008394740,0.263064854,-0.183164200,0.048412438,0.041226244,0.001409205,29.254956860,506,27,2004,2022,8,OK,OK,-0.161130026,2.297340130,0.831379460,2.763287092,1.382353283,3.212326978,,2022
mozdzen_tiva2022_gfcf_realppp_networth_polish_output_20260513,F01,trade,poland_2024,3,-0.448672304,0.312094977,-0.147739298,0.069551871,0.041129594,0.001522113,27.021382644,481,27,2004,2021,8,OK,OK,-0.161130026,1.848667826,0.683640162,2.704153340,0.748044548,2.949291103,,2022
mozdzen_tiva2022_gfcf_realppp_networth_polish_output_20260513,F01,trade,poland_2024,4,-0.418210417,0.347150629,-0.072778829,0.052328220,0.041361627,0.001531031,27.015537730,456,27,2004,2020,8,OK,OK,-0.161130026,1.430457409,0.610861333,2.341705608,0.136502436,2.724412382,,2022
mozdzen_tiva2022_gfcf_realppp_networth_polish_output_20260513,F01,trade,poland_2024,5,-0.209145703,0.099566362,-0.011184518,0.036025989,0.041510564,0.001532890,27.079937396,431,27,2004,2019,8,OK,OK,-0.161130026,1.221311706,0.599676815,2.036616516,-0.087275939,2.529899350,,2022
mozdzen_tiva2022_gfcf_realppp_networth_polish_output_20260513,F01,trade,poland_2024,6,0.076122930,0.160025327,-0.018250241,0.034619676,0.041900567,0.001410120,29.714181651,405,27,2004,2018,8,OK,OK,-0.161130026,1.297434636,0.581426574,2.231467726,-0.048215432,2.643084704,,2022
mozdzen_tiva2022_gfcf_realppp_networth_polish_output_20260513,F01,trade,poland_2024,7,0.198119722,0.094244887,0.037129093,0.052955722,0.042313373,0.001245594,33.970432900,378,27,2004,2017,8,OK,OK,-0.161130026,1.495554358,0.618555668,2.417816918,0.137285489,2.853823228,,2022
mozdzen_tiva2022_gfcf_realppp_networth_polish_output_20260513,F01,trade,poland_2024,8,0.342711654,0.090884734,0.075473678,0.037947363,0.042655059,0.001053168,40.501658888,351,27,2004,2016,8,OK,OK,-0.161130026,1.838266012,0.694029346,2.648686288,0.468366416,3.208165609,,2022
mozdzen_tiva2022_gfcf_realppp_networth_polish_output_20260513,F03,liq,poland_2024,0,1.194279266,0.336972404,1.000000000,0.000000000,0.043173801,0.001215289,35.525543589,531,27,2004,2023,8,OK,OK,,1.194279266,1.000000000,1.194279266,0.533825491,1.854733042,0.768793658,2022
